Name,Code,Type,Indicator Name,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Brazil,BRA,Country,Military expenditure (current USD),382729752.1,342339720.8,387449035.5,441999606.2,354227857.1,632869026.5,718216574.6,746139163.6,755307566.7,816622811,1026234374,1075071453,1195501488,1512670977,1790114213,2141126693,2576476982,2499644658,2690623102,2829161200,2259307479,2517859757,3031328924,2082669251,2013151758,2687049984,2758186568,4323674770,5874167753,8761486966,9236296955,6694665295,4993804467,7099899155,10591499118,14318919608,14073226545,13934266552,14357357047,9866973919,11344032535,10930231568,9664561903,8392905884,9780111585,13588619736,16404867307,20485758015,24452903036,25648809911,34002944470,36936209896,33987005074,32874787231,32659614241,24617701683,24224746901,29283050314,27766427104
United States,USA,Country,Military expenditure (current USD),45380000000,47808000000,52381000000,52295000000,51213000000,51827000000,63572000000,75448000000,80732000000,81443000000,79846000000,74862000000,77639000000,78358000000,85906000000,88400000000,91013000000,1.01E+11,1.09E+11,1.22E+11,1.38E+11,1.70E+11,2.14E+11,2.14E+11,2.31E+11,2.58E+11,2.81E+11,2.88E+11,2.93E+11,3.04E+11,3.06E+11,2.80E+11,3.05E+11,2.98E+11,2.88E+11,2.79E+11,2.71E+11,2.76E+11,2.74E+11,2.81E+11,3.02E+11,3.13E+11,3.57E+11,4.15E+11,4.65E+11,5.03E+11,5.28E+11,5.57E+11,6.21E+11,6.69E+11,6.98E+11,7.11E+11,6.85E+11,6.40E+11,6.10E+11,5.96E+11,6.00E+11,6.06E+11,6.49E+11
